ID,T1,Year,Sensations,Manipulations,Stimuli,Grounding Methods,Stimulating Methods,Source to Mechanical Mechanism,Simple to Complex Mechanism,web,Meeting name,TITLE
1,tsai2020elastoscillation,2020,Mass redistribution,Shaking,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,Sensations,ACM CHI,ElastOscillation: 3D Multilevel Force Feedback for Damped Oscillation on VR Controllers
2,heo2018thor,2018,NA,NA,Force/movements across joints,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Fluidic Mechs,https://doi.org/10.1145/3173574.3174099,ACM CHI,Thor's Hammer: An Ungrounded Force Feedback Device Utilizing Propeller-Induced Propulsive Force
3,zenner2019drag,2019,Shape,Shaking,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300441,ACM CHI,Drag:on: A Virtual Reality Controller Providing Haptic Feedback Based on Drag and Weight Shift
3,zenner2019drag,2019,Mass,Shaking,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,Sensations,ACM CHI,Drag:on: A Virtual Reality Controller Providing Haptic Feedback Based on Drag and Weight Shift
4,shigeyama2019transcalibur,2019,Shape,Unsupported holding,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300241,ACM CHI,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering Based on Computational Perception Model
4,shigeyama2019transcalibur,2019,Mass,Unsupported holding,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,NA,https://doi.org/10.1145/3290605.3300241,ACM CHI,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering Based on Computational Perception Model
5,zenner2017shifty,2017,Shape,Unsupported holding,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7833030,IEEE Transactions on Visualization and Computer Graphics,"Shifty: A Weight-Shifting Dynamic Passive Haptic Proxy to Enhance Object Perception in Virtual Reality

Source: IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS 23: 1312-1321

Date: 2017 

Document Type: Journal :  

DOI: 10.1109/TVCG.2017.2656978

Language:  

LCR: 0   CR: 18   LCS: 23   GCS: 53   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Terms Dynamic passive haptic feedback; input devices; virtual reality;haptics; perception

KeyWords Plus:  

Abstract: We define the concept of Dynamic Passive Haptic Feedback (DPHF) for virtual reality by introducing the weight-shifting physical DPHF proxy object Shifty. This concept combines actuators known from active haptics and physical proxies known from passive haptics to construct proxies that automatically adapt their passive haptic feedback. We describe the concept behind our ungrounded weight-shifting DPHF proxy Shifty and the implementation of our prototype. We then investigate how Shifty can, by automatically changing its internal weight distribution, enhance the user's perception of virtual objects interacted with in two experiments. In a first experiment, we show that Shifty can enhance the perception of virtual objects changing in shape, especially in length and thickness. Here, Shifty was shown to increase the user's fun and perceived realism significantly, compared to an equivalent passive haptic proxy. In a second experiment, Shifty is used to pick up virtual objects of different virtual weights. The results show that Shifty enhances the perception of weight and thus the perceived realism by adapting its kinesthetic feedback to the picked-up virtual object. In the same experiment, we additionally show that specific combinations of haptic, visual and auditory feedback during the pick-up interaction help to compensate for visual-haptic mismatch perceived during the shifting process. 
"
5,zenner2017shifty,2017,Mass,Unsupported holding,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://ieeexplore.ieee.org/document/7833030,IEEE Transactions on Visualization and Computer Graphics,"Shifty: A Weight-Shifting Dynamic Passive Haptic Proxy to Enhance Object Perception in Virtual Reality

Source: IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS 23: 1312-1321

Date: 2017 

Document Type: Journal :  

DOI: 10.1109/TVCG.2017.2656978

Language:  

LCR: 0   CR: 18   LCS: 23   GCS: 53   OCS: 

Comment:  

Address:  

Reprint:  

E-mail:  

Author Keywords: Terms Dynamic passive haptic feedback; input devices; virtual reality;haptics; perception

KeyWords Plus:  

Abstract: We define the concept of Dynamic Passive Haptic Feedback (DPHF) for virtual reality by introducing the weight-shifting physical DPHF proxy object Shifty. This concept combines actuators known from active haptics and physical proxies known from passive haptics to construct proxies that automatically adapt their passive haptic feedback. We describe the concept behind our ungrounded weight-shifting DPHF proxy Shifty and the implementation of our prototype. We then investigate how Shifty can, by automatically changing its internal weight distribution, enhance the user's perception of virtual objects interacted with in two experiments. In a first experiment, we show that Shifty can enhance the perception of virtual objects changing in shape, especially in length and thickness. Here, Shifty was shown to increase the user's fun and perceived realism significantly, compared to an equivalent passive haptic proxy. In a second experiment, Shifty is used to pick up virtual objects of different virtual weights. The results show that Shifty enhances the perception of weight and thus the perceived realism by adapting its kinesthetic feedback to the picked-up virtual object. In the same experiment, we additionally show that specific combinations of haptic, visual and auditory feedback during the pick-up interaction help to compensate for visual-haptic mismatch perceived during the shifting process. 
"
6,je2019aero,2019,Force/motion,Shaking,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Fluidic Mechs,https://doi.org/10.1145/3332165.3347926,ACM UIST,Aero-Plane: A Handheld Force-Feedback Device That Renders Weight Motion Illusion on a Virtual 2D Plane
7,pielot2012pocketnavigator,2012,Abstracted,Scanning,Vibration,"Ungrounding (handheld,portable)",Grasped,Existing devices,NA,https://dl.acm.org/doi/10.1145/2207676.2208728,ACM CHI,
8,arora2019virtualbricks,2019,Shape,NA,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Structural-flexibility-based Mechs,Spatial distribution of simple actuators,https://doi.org/10.1145/3290605.3300286,ACM CHI,"VirtualBricks: Exploring a Scalable, Modular Toolkit for Enabling Physical Manipulation in VR"
8,arora2019virtualbricks,2019,Shape,NA,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Structural-flexibility-based Mechs,Modularization,https://doi.org/10.1145/3290605.3300286,ACM CHI,"VirtualBricks: Exploring a Scalable, Modular Toolkit for Enabling Physical Manipulation in VR"
8,arora2019virtualbricks,2019,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Structural-flexibility-based Mechs,Spatial distribution of simple actuators,https://doi.org/10.1145/3290605.3300286,ACM CHI,"VirtualBricks: Exploring a Scalable, Modular Toolkit for Enabling Physical Manipulation in VR"
8,arora2019virtualbricks,2019,Mechanical Mechs,NA,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Structural-flexibility-based Mechs,Modularization,https://doi.org/10.1145/3290605.3300286,ACM CHI,"VirtualBricks: Exploring a Scalable, Modular Toolkit for Enabling Physical Manipulation in VR"
9,zhu2019haptwist,2019,Shape,NA,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Structural-flexibility-based Mechs,NA,https://doi.org/10.1145/3290605.3300923,ACM CHI,
10,strasnick2018haptic,2018,Mechanical Mechs,Function test,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/3173574.3174218,ACM CHI,"Haptic Links: Bimanual Haptics for Virtual Reality Using Variable Stiffness Actuation

"
10,strasnick2018haptic,2018,Mechanical Mechs,Part motion test,Whole proximate objects,"Ungrounding (handheld,portable)",Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof),https://doi.org/10.1145/3173574.3174218,ACM CHI,"Haptic Links: Bimanual Haptics for Virtual Reality Using Variable Stiffness Actuation

"
