ID,Name,Title,Paper link,Year,Venue,Sensations,Manipulations,Stimuli,Grounding Methods,Stimulating Methods,Source to Mechanical Mechanisms,Simple to Complex Mechanisms
1,tsai2020elastoscillation,ElastOscillation: 3D Multilevel Force Feedback for Damped Oscillation on VR Controllers,https://doi.org/10.1145/3313831.3376408,2020,ACM CHI,Mass redistribution,Shaking,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
2,heo2018thor,Thor's Hammer: An Ungrounded Force Feedback Device Utilizing Propeller-Induced Propulsive Force,https://doi.org/10.1145/3173574.3174099,2018,ACM CHI,NA,NA,Force/movements across joints,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,Fluidic Mechs
3,zenner2019drag,Drag:on: A Virtual Reality Controller Providing Haptic Feedback Based on Drag and Weight Shift,https://doi.org/10.1145/3290605.3300441,2019,ACM CHI,"Shape,Mass",Shaking,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
4,shigeyama2019transcalibur,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering Based on Computational Perception Model,https://doi.org/10.1145/3290605.3300241,2019,ACM CHI,"Shape,Mass",Unsupported holding,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,NA
5,zenner2017shifty,Shifty: A Weight-Shifting Dynamic Passive Haptic Proxy to Enhance Object Perception in Virtual Reality,https://ieeexplore.ieee.org/document/7833030,2017,IEEE Transactions on Visualization and Computer Graphics,"Shape,Mass",Unsupported holding,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
6,je2019aero,Aero-Plane: A Handheld Force-Feedback Device That Renders Weight Motion Illusion on a Virtual 2D Plane,https://doi.org/10.1145/3332165.3347926,2019,ACM UIST,Force/motion,Shaking,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,Fluidic Mechs
7,pielot2012pocketnavigator,"PocketNavigator: Studying Tactile Navigation Systems
In-Situ",https://dl.acm.org/doi/10.1145/2207676.2208728,2012,ACM CHI,Abstracted  ,Scanning,Vibration,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Existing devices,NA
8,arora2019virtualbricks,"VirtualBricks: Exploring a Scalable, Modular Toolkit for Enabling Physical Manipulation in VR",https://doi.org/10.1145/3290605.3300286,2019,ACM CHI,"Shape, Mechanical Mechs",NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Structural-flexibility-based Mechs,"Spatial distribution of simple actuators, Modularization"
9,zhu2019haptwist,HapTwist: Creating Interactive Haptic Proxies in Virtual Reality Using Low-Cost Twistable Artefacts,https://doi.org/10.1145/3290605.3300923,2019,ACM CHI,Shape ,NA,Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Structural-flexibility-based Mechs,NA
10,strasnick2018haptic,"Haptic Links: Bimanual Haptics for Virtual Reality Using Variable Stiffness Actuation

",https://doi.org/10.1145/3173574.3174218,2018,ACM CHI,Mechanical Mechs,"Function test,Part motion test",Whole proximate objects,"Ungrounding (handheld,portable) (handheld,portable)",Grasped,Electromagnetic Mechs,Mechanical structures (multiple 1 Dof to a multi-Dof)
